comunidad,sexo,edad,total,edad_min,edad_max
Aragón,mujeres,De 60 a 64 años,4.0,60.0,64.0
Aragón,mujeres,De 65 a 69 años,2.0,65.0,69.0
Aragón,mujeres,De 70 a 74 años,1.0,70.0,74.0
Aragón,mujeres,De 75 a 79 años,1.0,75.0,79.0
Aragón,mujeres,De 80 a 84 años,0.0,80.0,84.0
Aragón,mujeres,De 85 a 89 años,1.0,85.0,89.0
Aragón,mujeres,De 90 a 94 años,2.0,90.0,94.0
Aragón,mujeres,De 95 años y más,0.0,,
Canarias,ambos sexos,Todas las edades,233.0,,
Canarias,ambos sexos,Menores de 15 años,1.0,,
Canarias,ambos sexos,De 15 a 29 años,19.0,15.0,29.0
Canarias,ambos sexos,De 30 a 39 años,28.0,30.0,39.0
Canarias,ambos sexos,De 40 a 44 años,22.0,40.0,44.0
Canarias,ambos sexos,De 45 a 49 años,25.0,45.0,49.0
Canarias,ambos sexos,De 50 a 54 años,37.0,50.0,54.0
Canarias,ambos sexos,De 55 a 59 años,25.0,55.0,59.0
Canarias,ambos sexos,De 60 a 64 años,17.0,60.0,64.0
Canarias,ambos sexos,De 65 a 69 años,15.0,65.0,69.0
Canarias,ambos sexos,De 70 a 74 años,16.0,70.0,74.0
Canarias,ambos sexos,De 75 a 79 años,9.0,75.0,79.0
Canarias,ambos sexos,De 80 a 84 años,10.0,80.0,84.0
Canarias,ambos sexos,De 85 a 89 años,6.0,85.0,89.0
Canarias,ambos sexos,De 90 a 94 años,3.0,90.0,94.0
Canarias,ambos sexos,De 95 años y más,0.0,,
Canarias,hombres,Todas las edades,180.0,,
Canarias,hombres,Menores de 15 años,1.0,,
Canarias,hombres,De 15 a 29 años,13.0,15.0,29.0
Canarias,hombres,De 30 a 39 años,19.0,30.0,39.0
Canarias,hombres,De 40 a 44 años,17.0,40.0,44.0
Canarias,hombres,De 45 a 49 años,22.0,45.0,49.0
Canarias,hombres,De 50 a 54 años,30.0,50.0,54.0
Canarias,hombres,De 55 a 59 años,20.0,55.0,59.0
Canarias,hombres,De 60 a 64 años,14.0,60.0,64.0
Canarias,hombres,De 65 a 69 años,11.0,65.0,69.0
Canarias,hombres,De 70 a 74 años,12.0,70.0,74.0
Canarias,hombres,De 75 a 79 años,6.0,75.0,79.0
Canarias,hombres,De 80 a 84 años,6.0,80.0,84.0
Canarias,hombres,De 85 a 89 años,6.0,85.0,89.0
Canarias,hombres,De 90 a 94 años,3.0,90.0,94.0
Canarias,hombres,De 95 años y más,0.0,,
Canarias,mujeres,Todas las edades,53.0,,
Canarias,mujeres,Menores de 15 años,0.0,,
Canarias,mujeres,De 15 a 29 años,6.0,15.0,29.0
Canarias,mujeres,De 30 a 39 años,9.0,30.0,39.0
Canarias,mujeres,De 40 a 44 años,5.0,40.0,44.0
Canarias,mujeres,De 45 a 49 años,3.0,45.0,49.0
Canarias,mujeres,De 50 a 54 años,7.0,50.0,54.0
Canarias,mujeres,De 55 a 59 años,5.0,55.0,59.0
Canarias,mujeres,De 60 a 64 años,3.0,60.0,64.0
Canarias,mujeres,De 65 a 69 años,4.0,65.0,69.0
Canarias,mujeres,De 70 a 74 años,4.0,70.0,74.0
Canarias,mujeres,De 75 a 79 años,3.0,75.0,79.0
Canarias,mujeres,De 80 a 84 años,4.0,80.0,84.0
Canarias,mujeres,De 85 a 89 años,0.0,85.0,89.0
Canarias,mujeres,De 90 a 94 años,0.0,90.0,94.0
Canarias,mujeres,De 95 años y más,0.0,,
Cantabria,ambos sexos,Todas las edades,59.0,,
Cantabria,ambos sexos,Menores de 15 años,0.0,,
Cantabria,ambos sexos,De 15 a 29 años,6.0,15.0,29.0
Cantabria,ambos sexos,De 30 a 39 años,2.0,30.0,39.0
Cantabria,ambos sexos,De 40 a 44 años,3.0,40.0,44.0
Cantabria,ambos sexos,De 45 a 49 años,8.0,45.0,49.0
Cantabria,ambos sexos,De 50 a 54 años,8.0,50.0,54.0
Cantabria,ambos sexos,De 55 a 59 años,4.0,55.0,59.0
Cantabria,ambos sexos,De 60 a 64 años,5.0,60.0,64.0
Cantabria,ambos sexos,De 65 a 69 años,4.0,65.0,69.0
Cantabria,ambos sexos,De 70 a 74 años,7.0,70.0,74.0
Cantabria,ambos sexos,De 75 a 79 años,4.0,75.0,79.0
Cantabria,ambos sexos,De 80 a 84 años,4.0,80.0,84.0
Cantabria,ambos sexos,De 85 a 89 años,2.0,85.0,89.0
Cantabria,ambos sexos,De 90 a 94 años,2.0,90.0,94.0
Cantabria,ambos sexos,De 95 años y más,0.0,,
Cantabria,hombres,Todas las edades,39.0,,
Cantabria,hombres,Menores de 15 años,0.0,,
Cantabria,hombres,De 15 a 29 años,2.0,15.0,29.0
Cantabria,hombres,De 30 a 39 años,1.0,30.0,39.0
Cantabria,hombres,De 40 a 44 años,2.0,40.0,44.0
Cantabria,hombres,De 45 a 49 años,7.0,45.0,49.0
Cantabria,hombres,De 50 a 54 años,4.0,50.0,54.0
Cantabria,hombres,De 55 a 59 años,3.0,55.0,59.0
Cantabria,hombres,De 60 a 64 años,5.0,60.0,64.0
Cantabria,hombres,De 65 a 69 años,3.0,65.0,69.0
Cantabria,hombres,De 70 a 74 años,7.0,70.0,74.0
Cantabria,hombres,De 75 a 79 años,1.0,75.0,79.0
Cantabria,hombres,De 80 a 84 años,2.0,80.0,84.0
Cantabria,hombres,De 85 a 89 años,1.0,85.0,89.0
Cantabria,hombres,De 90 a 94 años,1.0,90.0,94.0
Cantabria,hombres,De 95 años y más,0.0,,
Cantabria,mujeres,Todas las edades,20.0,,
Cantabria,mujeres,Menores de 15 años,0.0,,
Cantabria,mujeres,De 15 a 29 años,4.0,15.0,29.0
Cantabria,mujeres,De 30 a 39 años,1.0,30.0,39.0
Cantabria,mujeres,De 40 a 44 años,1.0,40.0,44.0
Cantabria,mujeres,De 45 a 49 años,1.0,45.0,49.0
Cantabria,mujeres,De 50 a 54 años,4.0,50.0,54.0
Cantabria,mujeres,De 55 a 59 años,1.0,55.0,59.0
Cantabria,mujeres,De 60 a 64 años,0.0,60.0,64.0
Cantabria,mujeres,De 65 a 69 años,1.0,65.0,69.0
Cantabria,mujeres,De 70 a 74 años,0.0,70.0,74.0
Cantabria,mujeres,De 75 a 79 años,3.0,75.0,79.0
Cantabria,mujeres,De 80 a 84 años,2.0,80.0,84.0
Cantabria,mujeres,De 85 a 89 años,1.0,85.0,89.0
Cantabria,mujeres,De 90 a 94 años,1.0,90.0,94.0
Cantabria,mujeres,De 95 años y más,0.0,,
Castilla y León,ambos sexos,Todas las edades,242.0,,
Castilla y León,ambos sexos,Menores de 15 años,0.0,,
Castilla y León,ambos sexos,De 15 a 29 años,17.0,15.0,29.0
Castilla y León,ambos sexos,De 30 a 39 años,19.0,30.0,39.0
Castilla y León,ambos sexos,De 40 a 44 años,19.0,40.0,44.0
Castilla y León,ambos sexos,De 45 a 49 años,21.0,45.0,49.0
Castilla y León,ambos sexos,De 50 a 54 años,20.0,50.0,54.0
Castilla y León,ambos sexos,De 55 a 59 años,26.0,55.0,59.0
Castilla y León,ambos sexos,De 60 a 64 años,19.0,60.0,64.0
Castilla y León,ambos sexos,De 65 a 69 años,18.0,65.0,69.0
Castilla y León,ambos sexos,De 70 a 74 años,18.0,70.0,74.0
Castilla y León,ambos sexos,De 75 a 79 años,20.0,75.0,79.0
Castilla y León,ambos sexos,De 80 a 84 años,16.0,80.0,84.0
Castilla y León,ambos sexos,De 85 a 89 años,16.0,85.0,89.0
Castilla y León,ambos sexos,De 90 a 94 años,10.0,90.0,94.0
Castilla y León,ambos sexos,De 95 años y más,3.0,,
Castilla y León,hombres,Todas las edades,179.0,,
Castilla y León,hombres,Menores de 15 años,0.0,,
Castilla y León,hombres,De 15 a 29 años,13.0,15.0,29.0
Castilla y León,hombres,De 30 a 39 años,14.0,30.0,39.0
Castilla y León,hombres,De 40 a 44 años,14.0,40.0,44.0
Castilla y León,hombres,De 45 a 49 años,16.0,45.0,49.0
Castilla y León,hombres,De 50 a 54 años,10.0,50.0,54.0
Castilla y León,hombres,De 55 a 59 años,23.0,55.0,59.0
Castilla y León,hombres,De 60 a 64 años,15.0,60.0,64.0
Castilla y León,hombres,De 65 a 69 años,13.0,65.0,69.0
Castilla y León,hombres,De 70 a 74 años,12.0,70.0,74.0
Castilla y León,hombres,De 75 a 79 años,16.0,75.0,79.0
Castilla y León,hombres,De 80 a 84 años,10.0,80.0,84.0
Castilla y León,hombres,De 85 a 89 años,13.0,85.0,89.0
Castilla y León,hombres,De 90 a 94 años,8.0,90.0,94.0
Castilla y León,hombres,De 95 años y más,2.0,,
Castilla y León,mujeres,Todas las edades,63.0,,
Castilla y León,mujeres,Menores de 15 años,0.0,,
Castilla y León,mujeres,De 15 a 29 años,4.0,15.0,29.0
Castilla y León,mujeres,De 30 a 39 años,5.0,30.0,39.0
Castilla y León,mujeres,De 40 a 44 años,5.0,40.0,44.0
Castilla y León,mujeres,De 45 a 49 años,5.0,45.0,49.0
Castilla y León,mujeres,De 50 a 54 años,10.0,50.0,54.0
Castilla y León,mujeres,De 55 a 59 años,3.0,55.0,59.0
Castilla y León,mujeres,De 60 a 64 años,4.0,60.0,64.0
Castilla y León,mujeres,De 65 a 69 años,5.0,65.0,69.0
Castilla y León,mujeres,De 70 a 74 años,6.0,70.0,74.0
Castilla y León,mujeres,De 75 a 79 años,4.0,75.0,79.0
Castilla y León,mujeres,De 80 a 84 años,6.0,80.0,84.0
Castilla y León,mujeres,De 85 a 89 años,3.0,85.0,89.0
Castilla y León,mujeres,De 90 a 94 años,2.0,90.0,94.0
Castilla y León,mujeres,De 95 años y más,1.0,,
Castilla-La Mancha,ambos sexos,Todas las edades,184.0,,
Castilla-La Mancha,ambos sexos,Menores de 15 años,0.0,,
Castilla-La Mancha,ambos sexos,De 15 a 29 años,17.0,15.0,29.0
Castilla-La Mancha,ambos sexos,De 30 a 39 años,17.0,30.0,39.0
Castilla-La Mancha,ambos sexos,De 40 a 44 años,18.0,40.0,44.0
Castilla-La Mancha,ambos sexos,De 45 a 49 años,19.0,45.0,49.0
Castilla-La Mancha,ambos sexos,De 50 a 54 años,22.0,50.0,54.0
Castilla-La Mancha,ambos sexos,De 55 a 59 años,23.0,55.0,59.0
Castilla-La Mancha,ambos sexos,De 60 a 64 años,15.0,60.0,64.0
Castilla-La Mancha,ambos sexos,De 65 a 69 años,13.0,65.0,69.0
Castilla-La Mancha,ambos sexos,De 70 a 74 años,11.0,70.0,74.0
Castilla-La Mancha,ambos sexos,De 75 a 79 años,9.0,75.0,79.0
Castilla-La Mancha,ambos sexos,De 80 a 84 años,6.0,80.0,84.0
Castilla-La Mancha,ambos sexos,De 85 a 89 años,12.0,85.0,89.0
Castilla-La Mancha,ambos sexos,De 90 a 94 años,2.0,90.0,94.0
Castilla-La Mancha,ambos sexos,De 95 años y más,0.0,,
Castilla-La Mancha,hombres,Todas las edades,147.0,,
Castilla-La Mancha,hombres,Menores de 15 años,0.0,,
Castilla-La Mancha,hombres,De 15 a 29 años,12.0,15.0,29.0
Castilla-La Mancha,hombres,De 30 a 39 años,12.0,30.0,39.0
Castilla-La Mancha,hombres,De 40 a 44 años,14.0,40.0,44.0
Castilla-La Mancha,hombres,De 45 a 49 años,12.0,45.0,49.0
Castilla-La Mancha,hombres,De 50 a 54 años,19.0,50.0,54.0
Castilla-La Mancha,hombres,De 55 a 59 años,20.0,55.0,59.0
Castilla-La Mancha,hombres,De 60 a 64 años,15.0,60.0,64.0
Castilla-La Mancha,hombres,De 65 a 69 años,10.0,65.0,69.0
Castilla-La Mancha,hombres,De 70 a 74 años,10.0,70.0,74.0
Castilla-La Mancha,hombres,De 75 a 79 años,9.0,75.0,79.0
Castilla-La Mancha,hombres,De 80 a 84 años,3.0,80.0,84.0
Castilla-La Mancha,hombres,De 85 a 89 años,10.0,85.0,89.0
Castilla-La Mancha,hombres,De 90 a 94 años,1.0,90.0,94.0
Castilla-La Mancha,hombres,De 95 años y más,0.0,,
Castilla-La Mancha,mujeres,Todas las edades,37.0,,
Castilla-La Mancha,mujeres,Menores de 15 años,0.0,,
Castilla-La Mancha,mujeres,De 15 a 29 años,5.0,15.0,29.0
Castilla-La Mancha,mujeres,De 30 a 39 años,5.0,30.0,39.0
Castilla-La Mancha,mujeres,De 40 a 44 años,4.0,40.0,44.0
Castilla-La Mancha,mujeres,De 45 a 49 años,7.0,45.0,49.0
Castilla-La Mancha,mujeres,De 50 a 54 años,3.0,50.0,54.0
Castilla-La Mancha,mujeres,De 55 a 59 años,3.0,55.0,59.0
Castilla-La Mancha,mujeres,De 60 a 64 años,0.0,60.0,64.0
Castilla-La Mancha,mujeres,De 65 a 69 años,3.0,65.0,69.0
Castilla-La Mancha,mujeres,De 70 a 74 años,1.0,70.0,74.0
Castilla-La Mancha,mujeres,De 75 a 79 años,0.0,75.0,79.0
Castilla-La Mancha,mujeres,De 80 a 84 años,3.0,80.0,84.0
Castilla-La Mancha,mujeres,De 85 a 89 años,2.0,85.0,89.0
Castilla-La Mancha,mujeres,De 90 a 94 años,1.0,90.0,94.0
Castilla-La Mancha,mujeres,De 95 años y más,0.0,,
Cataluña,ambos sexos,Todas las edades,614.0,,
Cataluña,ambos sexos,Menores de 15 años,4.0,,
Cataluña,ambos sexos,De 15 a 29 años,52.0,15.0,29.0
Cataluña,ambos sexos,De 30 a 39 años,69.0,30.0,39.0
Cataluña,ambos sexos,De 40 a 44 años,50.0,40.0,44.0
Cataluña,ambos sexos,De 45 a 49 años,65.0,45.0,49.0
Cataluña,ambos sexos,De 50 a 54 años,69.0,50.0,54.0
Cataluña,ambos sexos,De 55 a 59 años,67.0,55.0,59.0
Cataluña,ambos sexos,De 60 a 64 años,55.0,60.0,64.0
Cataluña,ambos sexos,De 65 a 69 años,32.0,65.0,69.0
Cataluña,ambos sexos,De 70 a 74 años,48.0,70.0,74.0
Cataluña,ambos sexos,De 75 a 79 años,26.0,75.0,79.0
Cataluña,ambos sexos,De 80 a 84 años,36.0,80.0,84.0
Cataluña,ambos sexos,De 85 a 89 años,22.0,85.0,89.0
Cataluña,ambos sexos,De 90 a 94 años,14.0,90.0,94.0
Cataluña,ambos sexos,De 95 años y más,5.0,,
Cataluña,hombres,Todas las edades,440.0,,
Cataluña,hombres,Menores de 15 años,4.0,,
Cataluña,hombres,De 15 a 29 años,34.0,15.0,29.0
Cataluña,hombres,De 30 a 39 años,48.0,30.0,39.0
Cataluña,hombres,De 40 a 44 años,42.0,40.0,44.0
Cataluña,hombres,De 45 a 49 años,49.0,45.0,49.0
Cataluña,hombres,De 50 a 54 años,46.0,50.0,54.0
Cataluña,hombres,De 55 a 59 años,47.0,55.0,59.0
Cataluña,hombres,De 60 a 64 años,36.0,60.0,64.0
Cataluña,hombres,De 65 a 69 años,19.0,65.0,69.0
Cataluña,hombres,De 70 a 74 años,35.0,70.0,74.0
Cataluña,hombres,De 75 a 79 años,16.0,75.0,79.0
Cataluña,hombres,De 80 a 84 años,29.0,80.0,84.0
Cataluña,hombres,De 85 a 89 años,20.0,85.0,89.0
Cataluña,hombres,De 90 a 94 años,12.0,90.0,94.0
Cataluña,hombres,De 95 años y más,3.0,,
Cataluña,mujeres,Todas las edades,174.0,,
Cataluña,mujeres,Menores de 15 años,0.0,,
Cataluña,mujeres,De 15 a 29 años,18.0,15.0,29.0
Cataluña,mujeres,De 30 a 39 años,21.0,30.0,39.0
Cataluña,mujeres,De 40 a 44 años,8.0,40.0,44.0
Cataluña,mujeres,De 45 a 49 años,16.0,45.0,49.0
Cataluña,mujeres,De 50 a 54 años,23.0,50.0,54.0
Cataluña,mujeres,De 55 a 59 años,20.0,55.0,59.0
Cataluña,mujeres,De 60 a 64 años,19.0,60.0,64.0
Cataluña,mujeres,De 65 a 69 años,13.0,65.0,69.0
Cataluña,mujeres,De 70 a 74 años,13.0,70.0,74.0
Cataluña,mujeres,De 75 a 79 años,10.0,75.0,79.0
Cataluña,mujeres,De 80 a 84 años,7.0,80.0,84.0
Cataluña,mujeres,De 85 a 89 años,2.0,85.0,89.0
Cataluña,mujeres,De 90 a 94 años,2.0,90.0,94.0
Cataluña,mujeres,De 95 años y más,2.0,,
Comunitat Valenciana,ambos sexos,Todas las edades,445.0,,
Comunitat Valenciana,ambos sexos,Menores de 15 años,2.0,,
Comunitat Valenciana,ambos sexos,De 15 a 29 años,36.0,15.0,29.0
Comunitat Valenciana,ambos sexos,De 30 a 39 años,35.0,30.0,39.0
Comunitat Valenciana,ambos sexos,De 40 a 44 años,40.0,40.0,44.0
Comunitat Valenciana,ambos sexos,De 45 a 49 años,57.0,45.0,49.0
Comunitat Valenciana,ambos sexos,De 50 a 54 años,55.0,50.0,54.0
Comunitat Valenciana,ambos sexos,De 55 a 59 años,59.0,55.0,59.0
Comunitat Valenciana,ambos sexos,De 60 a 64 años,46.0,60.0,64.0
Comunitat Valenciana,ambos sexos,De 65 a 69 años,23.0,65.0,69.0
Comunitat Valenciana,ambos sexos,De 70 a 74 años,28.0,70.0,74.0
Comunitat Valenciana,ambos sexos,De 75 a 79 años,14.0,75.0,79.0
Comunitat Valenciana,ambos sexos,De 80 a 84 años,19.0,80.0,84.0
Comunitat Valenciana,ambos sexos,De 85 a 89 años,22.0,85.0,89.0
Comunitat Valenciana,ambos sexos,De 90 a 94 años,7.0,90.0,94.0
Comunitat Valenciana,ambos sexos,De 95 años y más,2.0,,
Comunitat Valenciana,hombres,Todas las edades,328.0,,
Comunitat Valenciana,hombres,Menores de 15 años,1.0,,
Comunitat Valenciana,hombres,De 15 a 29 años,25.0,15.0,29.0
Comunitat Valenciana,hombres,De 30 a 39 años,25.0,30.0,39.0
Comunitat Valenciana,hombres,De 40 a 44 años,32.0,40.0,44.0
Comunitat Valenciana,hombres,De 45 a 49 años,41.0,45.0,49.0
Comunitat Valenciana,hombres,De 50 a 54 años,41.0,50.0,54.0
Comunitat Valenciana,hombres,De 55 a 59 años,46.0,55.0,59.0
Comunitat Valenciana,hombres,De 60 a 64 años,33.0,60.0,64.0
Comunitat Valenciana,hombres,De 65 a 69 años,17.0,65.0,69.0
Comunitat Valenciana,hombres,De 70 a 74 años,18.0,70.0,74.0
Comunitat Valenciana,hombres,De 75 a 79 años,11.0,75.0,79.0
Comunitat Valenciana,hombres,De 80 a 84 años,13.0,80.0,84.0
Comunitat Valenciana,hombres,De 85 a 89 años,17.0,85.0,89.0
